ESTACION,MAGNITUD,ANO,MES,DIA,H08
35,7,2018,9,11,16.0
35,7,2018,9,12,2.0
35,7,2018,9,13,3.0
35,7,2018,9,14,2.0
35,7,2018,9,15,5.0
35,7,2018,9,16,1.0
35,7,2018,9,17,2.0
35,7,2018,9,18,3.0
35,7,2018,9,19,3.0
35,7,2018,9,20,3.0
35,7,2018,9,21,14.0
35,7,2018,9,22,6.0
35,7,2018,9,23,2.0
35,7,2018,9,24,3.0
35,7,2018,9,25,2.0
35,7,2018,9,26,2.0
35,7,2018,9,27,4.0
35,7,2018,9,28,6.0
35,7,2018,9,29,5.0
35,7,2018,9,30,1.0
36,7,2018,9,1,2.0
36,7,2018,9,2,1.0
36,7,2018,9,3,25.0
36,7,2018,9,4,21.0
36,7,2018,9,5,10.0
36,7,2018,9,6,7.0
36,7,2018,9,7,2.0
36,7,2018,9,8,7.0
36,7,2018,9,9,7.0
36,7,2018,9,10,19.0
36,7,2018,9,11,14.0
36,7,2018,9,12,6.0
36,7,2018,9,13,20.0
36,7,2018,9,14,15.0
36,7,2018,9,15,9.0
36,7,2018,9,16,2.0
36,7,2018,9,17,8.0
36,7,2018,9,18,14.0
36,7,2018,9,19,19.0
36,7,2018,9,20,18.0
36,7,2018,9,21,33.0
36,7,2018,9,22,2.0
36,7,2018,9,23,2.0
36,7,2018,9,24,2.0
36,7,2018,9,25,2.0
36,7,2018,9,26,3.0
36,7,2018,9,27,31.0
36,7,2018,9,28,50.0
36,7,2018,9,29,5.0
36,7,2018,9,30,5.0
38,7,2018,9,1,1.0
38,7,2018,9,2,1.0
38,7,2018,9,3,15.0
38,7,2018,9,4,13.0
38,7,2018,9,5,11.0
38,7,2018,9,6,5.0
38,7,2018,9,7,8.0
38,7,2018,9,8,4.0
38,7,2018,9,9,4.0
38,7,2018,9,10,23.0
38,7,2018,9,11,24.0
38,7,2018,9,12,16.0
38,7,2018,9,13,29.0
38,7,2018,9,14,15.0
38,7,2018,9,15,3.0
38,7,2018,9,16,2.0
38,7,2018,9,17,20.0
38,7,2018,9,18,17.0
38,7,2018,9,19,22.0
38,7,2018,9,20,21.0
38,7,2018,9,21,25.0
38,7,2018,9,22,4.0
38,7,2018,9,23,4.0
38,7,2018,9,24,21.0
38,7,2018,9,25,17.0
38,7,2018,9,26,3.0
38,7,2018,9,27,18.0
38,7,2018,9,28,19.0
38,7,2018,9,29,1.0
38,7,2018,9,30,2.0
39,7,2018,9,1,1.0
39,7,2018,9,2,2.0
39,7,2018,9,3,19.0
39,7,2018,9,4,1.0
39,7,2018,9,5,2.0
39,7,2018,9,6,3.0
39,7,2018,9,7,1.0
39,7,2018,9,8,1.0
39,7,2018,9,9,1.0
39,7,2018,9,10,2.0
39,7,2018,9,11,1.0
39,7,2018,9,12,0.0
39,7,2018,9,13,2.0
39,7,2018,9,14,3.0
39,7,2018,9,15,1.0
39,7,2018,9,16,1.0
39,7,2018,9,17,2.0
39,7,2018,9,18,1.0
39,7,2018,9,19,3.0
39,7,2018,9,20,5.0
39,7,2018,9,21,28.0
39,7,2018,9,22,1.0
39,7,2018,9,23,1.0
39,7,2018,9,24,1.0
39,7,2018,9,25,1.0
39,7,2018,9,26,1.0
39,7,2018,9,27,14.0
39,7,2018,9,28,18.0
39,7,2018,9,29,1.0
39,7,2018,9,30,1.0
40,7,2018,9,1,2.0
40,7,2018,9,2,1.0
40,7,2018,9,3,4.0
40,7,2018,9,4,7.0
40,7,2018,9,5,20.0
40,7,2018,9,6,14.0
40,7,2018,9,7,1.0
40,7,2018,9,8,1.0
40,7,2018,9,9,4.0
40,7,2018,9,10,7.0
40,7,2018,9,11,6.0
40,7,2018,9,12,2.0
40,7,2018,9,13,8.0
40,7,2018,9,14,8.0
40,7,2018,9,15,2.0
40,7,2018,9,16,2.0
40,7,2018,9,17,3.0
40,7,2018,9,18,6.0
40,7,2018,9,19,12.0
40,7,2018,9,20,12.0
40,7,2018,9,21,14.0
40,7,2018,9,22,2.0
40,7,2018,9,23,1.0
40,7,2018,9,24,2.0
40,7,2018,9,25,7.0
40,7,2018,9,26,3.0
40,7,2018,9,27,9.0
40,7,2018,9,28,14.0
40,7,2018,9,29,2.0
40,7,2018,9,30,2.0
47,7,2018,9,1,1.0
47,7,2018,9,2,1.0
47,7,2018,9,3,15.0
47,7,2018,9,4,11.0
47,7,2018,9,5,55.0
47,7,2018,9,6,9.0
47,7,2018,9,7,6.0
47,7,2018,9,8,1.0
47,7,2018,9,9,21.0
47,7,2018,9,10,5.0
47,7,2018,9,11,14.0
47,7,2018,9,12,3.0
47,7,2018,9,13,4.0
47,7,2018,9,14,6.0
47,7,2018,9,15,1.0
47,7,2018,9,16,1.0
47,7,2018,9,17,7.0
47,7,2018,9,18,19.0
47,7,2018,9,19,8.0
47,7,2018,9,20,14.0
47,7,2018,9,21,22.0
47,7,2018,9,22,1.0
47,7,2018,9,23,1.0
47,7,2018,9,24,2.0
47,7,2018,9,25,1.0
47,7,2018,9,26,2.0
47,7,2018,9,27,1.0
47,7,2018,9,28,32.0
47,7,2018,9,29,1.0
47,7,2018,9,30,1.0
48,7,2018,9,1,1.0
48,7,2018,9,2,1.0
48,7,2018,9,3,2.0
48,7,2018,9,4,7.0
48,7,2018,9,5,12.0
48,7,2018,9,6,5.0
48,7,2018,9,7,1.0
48,7,2018,9,8,1.0
48,7,2018,9,9,1.0
48,7,2018,9,10,2.0
48,7,2018,9,11,4.0
48,7,2018,9,12,3.0
48,7,2018,9,13,3.0
48,7,2018,9,14,2.0
48,7,2018,9,15,1.0
48,7,2018,9,16,1.0
48,7,2018,9,17,1.0
48,7,2018,9,18,7.0
48,7,2018,9,19,1.0
48,7,2018,9,20,2.0
48,7,2018,9,21,5.0
48,7,2018,9,22,1.0
48,7,2018,9,23,1.0
48,7,2018,9,24,2.0
48,7,2018,9,25,4.0
48,7,2018,9,26,2.0
48,7,2018,9,27,1.0
48,7,2018,9,28,16.0
48,7,2018,9,29,1.0
48,7,2018,9,30,1.0
49,7,2018,9,1,1.0
49,7,2018,9,2,1.0
49,7,2018,9,3,1.0
49,7,2018,9,4,1.0
49,7,2018,9,5,7.0
49,7,2018,9,6,1.0
49,7,2018,9,7,1.0
49,7,2018,9,8,1.0
49,7,2018,9,9,1.0
49,7,2018,9,10,1.0
49,7,2018,9,11,1.0
49,7,2018,9,12,2.0
49,7,2018,9,13,1.0
49,7,2018,9,14,1.0
49,7,2018,9,15,1.0
49,7,2018,9,16,1.0
49,7,2018,9,17,1.0
49,7,2018,9,18,1.0
49,7,2018,9,19,1.0
49,7,2018,9,20,1.0
49,7,2018,9,21,1.0
49,7,2018,9,22,1.0
49,7,2018,9,23,1.0
49,7,2018,9,24,1.0
49,7,2018,9,25,1.0
49,7,2018,9,26,1.0
49,7,2018,9,27,1.0
49,7,2018,9,28,1.0
49,7,2018,9,29,1.0
49,7,2018,9,30,1.0
50,7,2018,9,1,2.0
50,7,2018,9,2,2.0
50,7,2018,9,3,5.0
50,7,2018,9,4,6.0
50,7,2018,9,5,39.0
50,7,2018,9,6,7.0
50,7,2018,9,7,3.0
50,7,2018,9,8,2.0
50,7,2018,9,9,3.0
50,7,2018,9,10,14.0
50,7,2018,9,11,13.0
50,7,2018,9,12,3.0
50,7,2018,9,13,6.0
50,7,2018,9,14,4.0
50,7,2018,9,15,2.0
50,7,2018,9,16,2.0
50,7,2018,9,17,8.0
50,7,2018,9,18,4.0
50,7,2018,9,19,6.0
50,7,2018,9,20,7.0
50,7,2018,9,21,25.0
50,7,2018,9,22,2.0
50,7,2018,9,23,2.0
50,7,2018,9,24,9.0
50,7,2018,9,25,4.0
50,7,2018,9,26,2.0
50,7,2018,9,27,18.0
50,7,2018,9,28,16.0
50,7,2018,9,29,1.0
50,7,2018,9,30,2.0
54,7,2018,9,1,1.0
54,7,2018,9,2,1.0
54,7,2018,9,3,18.0
54,7,2018,9,4,52.0
54,7,2018,9,5,2.0
54,7,2018,9,6,8.0
54,7,2018,9,7,2.0
54,7,2018,9,8,1.0
54,7,2018,9,9,1.0
54,7,2018,9,10,21.0
54,7,2018,9,11,33.0
54,7,2018,9,12,4.0
54,7,2018,9,13,26.0
54,7,2018,9,14,20.0
54,7,2018,9,15,1.0
54,7,2018,9,16,1.0
54,7,2018,9,17,11.0
54,7,2018,9,18,28.0
54,7,2018,9,19,28.0
54,7,2018,9,20,33.0
54,7,2018,9,21,41.0
54,7,2018,9,22,1.0
54,7,2018,9,23,1.0
54,7,2018,9,24,8.0
54,7,2018,9,25,7.0
54,7,2018,9,26,7.0
54,7,2018,9,27,7.0
54,7,2018,9,28,72.0
54,7,2018,9,29,1.0
54,7,2018,9,30,1.0
55,7,2018,9,1,1.0
55,7,2018,9,2,16.0
55,7,2018,9,3,34.0
55,7,2018,9,4,59.0
55,7,2018,9,5,47.0
55,7,2018,9,6,30.0
55,7,2018,9,7,3.0
55,7,2018,9,8,1.0
55,7,2018,9,9,10.0
55,7,2018,9,10,24.0
55,7,2018,9,11,33.0
55,7,2018,9,12,13.0
