ESTACION,MAGNITUD,ANO,MES,DIA,H08
16,7,2018,10,28,1.0
16,7,2018,10,29,6.0
16,7,2018,10,30,14.0
16,7,2018,10,31,16.0
17,7,2018,10,1,1.0
17,7,2018,10,2,3.0
17,7,2018,10,3,10.0
17,7,2018,10,4,127.0
17,7,2018,10,5,63.0
17,7,2018,10,6,105.0
17,7,2018,10,7,1.0
17,7,2018,10,8,67.0
17,7,2018,10,9,4.0
17,7,2018,10,10,6.0
17,7,2018,10,11,11.0
17,7,2018,10,12,1.0
17,7,2018,10,13,27.0
17,7,2018,10,14,1.0
17,7,2018,10,15,18.0
17,7,2018,10,16,17.0
17,7,2018,10,17,103.0
17,7,2018,10,18,8.0
17,7,2018,10,19,1.0
17,7,2018,10,20,1.0
17,7,2018,10,21,1.0
17,7,2018,10,22,160.0
17,7,2018,10,23,2.0
17,7,2018,10,24,164.0
17,7,2018,10,25,172.0
17,7,2018,10,26,93.0
17,7,2018,10,27,10.0
17,7,2018,10,28,12.0
17,7,2018,10,29,4.0
17,7,2018,10,30,5.0
17,7,2018,10,31,18.0
18,7,2018,10,1,2.0
18,7,2018,10,2,3.0
18,7,2018,10,3,9.0
18,7,2018,10,4,38.0
18,7,2018,10,5,62.0
18,7,2018,10,6,10.0
18,7,2018,10,7,1.0
18,7,2018,10,8,15.0
18,7,2018,10,9,6.0
18,7,2018,10,10,7.0
18,7,2018,10,11,35.0
18,7,2018,10,12,2.0
18,7,2018,10,13,19.0
18,7,2018,10,14,1.0
18,7,2018,10,15,6.0
18,7,2018,10,16,22.0
18,7,2018,10,17,39.0
18,7,2018,10,18,11.0
18,7,2018,10,19,2.0
18,7,2018,10,20,1.0
18,7,2018,10,21,1.0
18,7,2018,10,22,54.0
18,7,2018,10,23,5.0
18,7,2018,10,24,69.0
18,7,2018,10,25,50.0
18,7,2018,10,26,52.0
18,7,2018,10,27,2.0
18,7,2018,10,28,2.0
18,7,2018,10,29,3.0
18,7,2018,10,30,10.0
18,7,2018,10,31,5.0
24,7,2018,10,1,1.0
24,7,2018,10,2,1.0
24,7,2018,10,3,1.0
24,7,2018,10,4,1.0
24,7,2018,10,5,1.0
24,7,2018,10,6,3.0
24,7,2018,10,7,1.0
24,7,2018,10,8,1.0
24,7,2018,10,9,1.0
24,7,2018,10,10,1.0
24,7,2018,10,11,26.0
24,7,2018,10,12,1.0
24,7,2018,10,13,14.0
24,7,2018,10,14,1.0
24,7,2018,10,15,1.0
24,7,2018,10,16,3.0
24,7,2018,10,17,2.0
24,7,2018,10,18,1.0
24,7,2018,10,19,1.0
24,7,2018,10,20,1.0
24,7,2018,10,21,1.0
24,7,2018,10,22,27.0
24,7,2018,10,23,1.0
24,7,2018,10,24,1.0
24,7,2018,10,25,2.0
24,7,2018,10,26,5.0
24,7,2018,10,27,1.0
24,7,2018,10,28,1.0
24,7,2018,10,29,1.0
24,7,2018,10,30,1.0
24,7,2018,10,31,1.0
27,7,2018,10,1,4.0
27,7,2018,10,2,29.0
27,7,2018,10,3,38.0
27,7,2018,10,4,28.0
27,7,2018,10,5,23.0
27,7,2018,10,6,4.0
27,7,2018,10,7,1.0
27,7,2018,10,8,66.0
27,7,2018,10,9,32.0
27,7,2018,10,10,17.0
27,7,2018,10,11,53.0
27,7,2018,10,12,1.0
27,7,2018,10,13,49.0
27,7,2018,10,14,1.0
27,7,2018,10,15,45.0
27,7,2018,10,16,44.0
27,7,2018,10,17,51.0
27,7,2018,10,18,22.0
27,7,2018,10,19,9.0
27,7,2018,10,20,3.0
27,7,2018,10,21,6.0
27,7,2018,10,22,113.0
27,7,2018,10,23,26.0
27,7,2018,10,24,32.0
27,7,2018,10,25,63.0
27,7,2018,10,26,27.0
27,7,2018,10,27,19.0
27,7,2018,10,28,1.0
27,7,2018,10,29,1.0
27,7,2018,10,30,2.0
27,7,2018,10,31,1.0
35,7,2018,10,1,4.0
35,7,2018,10,2,53.0
35,7,2018,10,3,10.0
35,7,2018,10,4,12.0
35,7,2018,10,5,11.0
35,7,2018,10,6,45.0
35,7,2018,10,7,9.0
35,7,2018,10,8,61.0
35,7,2018,10,9,32.0
35,7,2018,10,10,49.0
35,7,2018,10,11,26.0
35,7,2018,10,12,7.0
35,7,2018,10,13,41.0
35,7,2018,10,14,2.0
35,7,2018,10,15,9.0
35,7,2018,10,16,34.0
35,7,2018,10,17,36.0
35,7,2018,10,18,11.0
35,7,2018,10,19,28.0
35,7,2018,10,20,16.0
35,7,2018,10,21,5.0
35,7,2018,10,22,47.0
35,7,2018,10,23,14.0
35,7,2018,10,24,59.0
35,7,2018,10,25,83.0
35,7,2018,10,26,82.0
35,7,2018,10,27,10.0
35,7,2018,10,28,4.0
35,7,2018,10,29,3.0
35,7,2018,10,30,5.0
